# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
0.2345561536,0.9616835703,3.1213602543,0.9591967547,2.0062808037,0.9534355065,1.6546773522,1.0994171683,0.9520978842
0.2363645754,0.9613980775,3.1211789799,0.9588899830,2.0060348948,0.9530865221,1.6542940375,1.0993061136,0.9517375561
0.2381869401,0.9611105327,3.1209961319,0.9585809660,2.0057870460,0.9527350002,1.6539079138,1.0991943911,0.9513745890
0.2400233552,0.9608209223,3.1208116055,0.9582696882,2.0055372167,0.9523809238,1.6535190183,1.0990820039,0.9510089647
0.2418739290,0.9605292327,3.1206254268,0.9579561339,2.0052854729,0.9520242753,1.6531270345,1.0989685762,0.9506406650
0.2437387707,0.9602354500,3.1204376221,0.9576402876,2.0050319457,0.9516650375,1.6527323440,1.0988545497,0.9502696715
0.2456179902,0.9599395604,3.1202481651,0.9573221334,2.0047763467,0.9513031928,1.6523347631,1.0987398274,0.9498959655
0.2475116985,0.9596415501,3.1200568197,0.9570016555,2.0045187283,0.9509387235,1.6519342246,1.0986242274,0.9495195286
0.2494200073,0.9593414050,3.1198640060,0.9566788379,2.0042593133,0.9505716120,1.6515305452,1.0985077270,0.9491403419
0.2513430290,0.9590391111,3.1196694088,0.9563536647,2.0039977741,0.9502018403,1.6511243673,1.0983907002,0.9487583866
0.2532808772,0.9587346542,3.1194728184,0.9560261197,2.0037343597,0.9498293906,1.6507146243,1.0982725410,0.9483736438
0.2552336661,0.9584280203,3.1192746536,0.9556961866,2.0034687682,0.9494542449,1.6503021760,1.0981537895,0.9479860944
0.2572015110,0.9581191949,3.1190746808,0.9553638491,2.0032012367,0.9490763849,1.6498866115,1.0980341947,0.9475957193
0.2591845280,0.9578081637,3.1188727140,0.9550290908,2.0029315281,0.9486957926,1.6494682265,1.0979138827,0.9472024991
0.2611828339,0.9574949123,3.1186693442,0.9546918953,2.0026598263,0.9483124495,1.6490464278,1.0977925017,0.9468064144
0.2631965467,0.9571794263,3.1184636271,0.9543522458,2.0023860264,0.9479263373,1.6486218258,1.0976705802,0.9464074458
0.2652257852,0.9568616910,3.1182564676,0.9540101258,2.0021101284,0.9475374374,1.6481940469,1.0975477242,0.9460055737
0.2672706691,0.9565416918,3.1180469608,0.9536655183,2.0018322372,0.9471457312,1.6477630240,1.0974239886,0.9456007783
0.2693313190,0.9562194140,3.1178361034,0.9533184066,2.0015520382,0.9467511999,1.6473288526,1.0972994138,0.9451930397
0.2714078564,0.9558948428,3.1176230431,0.9529687736,2.0012698066,0.9463538248,1.6468914388,1.0971740140,0.9447823381
0.2735004039,0.9555679632,3.1174078846,0.9526166022,2.0009854507,0.9459535869,1.6464509296,1.0970477483,0.9443686535
0.2756090848,0.9552387605,3.1171908510,0.9522618753,2.0006986698,0.9455504671,1.6460070582,1.0969205753,0.9439519655
0.2777340237,0.9549072195,3.1169720078,0.9519045756,2.0004098415,0.9451444464,1.6455601658,1.0967927355,0.9435322540
0.2798753457,0.9545733251,3.1167511845,0.9515446856,2.0001187325,0.9447355056,1.6451098399,1.0966639473,0.9431094985
0.2820331773,0.9542370623,3.1165280664,0.9511821880,1.9998255253,0.9443236252,1.6446562660,1.0965342446,0.9426836785
0.2842076458,0.9538984157,3.1163029289,0.9508170652,1.9995299578,0.9439087858,1.6441993695,1.0964037412,0.9422547735
0.2863988793,0.9535573700,3.1160760736,0.9504492995,1.9992321869,0.9434909679,1.6437391231,1.0962722933,0.9418227627
0.2886070072,0.9532139099,3.1158469105,0.9500788732,1.9989321351,0.9430701519,1.6432754727,1.0961399878,0.9413876253
0.2908321597,0.9528680198,3.1156157017,0.9497057683,1.9986297226,0.9426463180,1.6428083678,1.0960066950,0.9409493402
0.2930744680,0.9525196843,3.1153825030,0.9493299670,1.9983250809,0.9422194464,1.6423380498,1.0958726953,0.9405078865
0.2953340645,0.9521688877,3.1151470947,0.9489514512,1.9980179214,0.9417895172,1.6418641079,1.0957376558,0.9400632429
0.2976110824,0.9518156144,3.1149095917,0.9485702026,1.9977085590,0.9413565102,1.6413868199,1.0956017423,0.9396153882
0.2999056561,0.9514598485,3.1146693611,0.9481862032,1.9973967838,0.9409204053,1.6409060200,1.0954650082,0.9391643009
0.3022179209,0.9511015743,3.1144273996,0.9477994345,1.9970825958,0.9404811824,1.6404218154,1.0953273683,0.9387099596
0.3045480131,0.9507407758,3.1141831303,0.9474098780,1.9967660475,0.9400388209,1.6399338972,1.0951886852,0.9382523425
0.3068960704,0.9503774370,3.1139365530,0.9470175153,1.9964470863,0.9395933006,1.6394425223,1.0950491677,0.9377914280
0.3092622310,0.9500115420,3.1136880875,0.9466223276,1.9961256468,0.9391446008,1.6389477132,1.0949088549,0.9373271941
0.3116466348,0.9496430744,3.1134367436,0.9462242963,1.9958017159,0.9386927008,1.6384492421,1.0947675422,0.9368596190
0.3140494222,0.9492720183,3.1131833968,0.9458234025,1.9954753590,0.9382375799,1.6379468335,1.0946249947,0.9363886804
0.3164707350,0.9488983572,3.1129277945,0.9454196272,1.9951464844,0.9377792173,1.6374411331,1.0944819431,0.9359143562
0.3189107161,0.9485220748,3.1126696777,0.9450129514,1.9948150790,0.9373175920,1.6369314488,1.0943375555,0.9354366241
0.3213695094,0.9481431547,3.1124092007,0.9446033560,1.9944811297,0.9368526828,1.6364181889,1.0941923662,0.9349554617
0.3238472599,0.9477615803,3.1121462059,0.9441908217,1.9941446528,0.9363844687,1.6359013166,1.0940463570,0.9344708463
0.3263441138,0.9473773352,3.1118810065,0.9437753292,1.9938054935,0.9359129284,1.6353806975,1.0938993342,0.9339827554
0.3288602184,0.9469904027,3.1116132927,0.9433568590,1.9934638214,0.9354380404,1.6348559523,1.0937511380,0.9334911662
0.3313957221,0.9466007659,3.1113427448,0.9429353917,1.9931196306,0.9349597834,1.6343279211,1.0936022685,0.9329960557
0.3339507745,0.9462084083,3.1110700989,0.9425109074,1.9927727127,0.9344781357,1.6337956867,1.0934521975,0.9324974009
0.3365255262,0.9458133128,3.1107947246,0.9420833866,1.9924230933,0.9339930757,1.6332599197,1.0933014420,0.9319951789
0.3391201292,0.9454154625,3.1105168343,0.9416528094,1.9920708120,0.9335045816,1.6327199251,1.0931493687,0.9314893662
0.3417347366,0.9450148405,3.1102364779,0.9412191558,1.9917158292,0.9330126315,1.6321760767,1.0929964233,0.9309799396
0.3443695024,0.9446114297,3.1099532890,0.9407824058,1.9913581832,0.9325172034,1.6316286599,1.0928426422,0.9304668756
0.3470245823,0.9442052128,3.1096677399,0.9403425393,1.9909976292,0.9320182754,1.6310768866,1.0926876545,0.9299501506
0.3497001328,0.9437961727,3.1093791485,0.9398995360,1.9906345230,0.9315158250,1.6305212332,1.0925316977,0.9294297410
0.3523963117,0.9433842921,3.1090881968,0.9394533756,1.9902684402,0.9310098302,1.6299616079,1.0923747929,0.9289056230
0.3551132780,0.9429695537,3.1087942028,0.9390040376,1.9898997808,0.9305002686,1.6293980051,1.0922168522,0.9283777726
0.3578511921,0.9425519398,3.1084977371,0.9385515016,1.9895281971,0.9299871176,1.6288302953,1.0920579591,0.9278461658
0.3606102154,0.9421314332,3.1081984520,0.9380957468,1.9891537285,0.9294703546,1.6282584468,1.0918979177,0.9273107785
0.3633905108,0.9417080161,3.1078963280,0.9376367526,1.9887764800,0.9289499570,1.6276823944,1.0917368611,0.9267715865
0.3661922421,0.9412816710,3.1075913715,0.9371744981,1.9883963203,0.9284259021,1.6271022536,1.0915747703,0.9262285653
0.3690155747,0.9408523801,3.1072834778,0.9367089623,1.9880132037,0.9278981669,1.6265180335,1.0914117165,0.9256816905
0.3718606752,0.9404201256,3.1069727516,0.9362401243,1.9876271367,0.9273667285,1.6259294770,1.0912475464,0.9251309376
0.3747277113,0.9399848897,3.1066590750,0.9357679630,1.9872381783,0.9268315639,1.6253368722,1.0910823962,0.9245762818
0.3776168521,0.9395466544,3.1063422906,0.9352924570,1.9868462431,0.9262926497,1.6247397307,1.0909160554,0.9240176983
0.3805282682,0.9391054018,3.1060229492,0.9348135850,1.9864512396,0.9257499629,1.6241385018,1.0907487891,0.9234551621
0.3834621312,0.9386611139,3.1057002640,0.9343313257,1.9860531807,0.9252034800,1.6235329653,1.0905804460,0.9228886484
0.3864186142,0.9382137723,3.1053745890,0.9338456575,1.9856522894,0.9246531775,1.6229229445,1.0904109388,0.9223181319
0.3893978916,0.9377633591,3.1050460815,0.9333565588,1.9852482247,0.9240990320,1.6223086942,1.0902404358,0.9217435874
0.3924001392,0.9373098559,3.1047141516,0.9328640078,1.9848410097,0.9235410198,1.6216900501,1.0900689170,0.9211649896
0.3954255340,0.9368532443,3.1043791139,0.9323679828,1.9844306278,0.9229791171,1.6210668510,1.0898961733,0.9205823129
0.3984742546,0.9363935061,3.1040408373,0.9318684619,1.9840172136,0.9224133001,1.6204392838,1.0897224433,0.9199955318
0.4015464806,0.9359306227,3.1036995578,0.9313654229,1.9836007309,0.9218435449,1.6198073935,1.0895477338,0.9194046207
0.4046423935,0.9354645756,3.1033550525,0.9308588439,1.9831809175,0.9212698275,1.6191706805,1.0893716828,0.9188095537
0.4077621758,0.9349953463,3.1030072689,0.9303487025,1.9827579308,0.9206921238,1.6185294369,1.0891945438,0.9182103049
0.4109060115,0.9345229160,3.1026559973,0.9298349766,1.9823317313,0.9201104095,1.6178836452,1.0890163459,0.9176068484
0.4140740861,0.9340472661,3.1023015785,0.9293176437,1.9819023323,0.9195246603,1.6172332909,1.0888370412,0.9169991581
0.4172665865,0.9335683778,3.1019438028,0.9287966813,1.9814695370,0.9189348520,1.6165782354,1.0886565339,0.9163872077
0.4204837010,0.9330862322,3.1015825653,0.9282720668,1.9810334110,0.9183409599,1.6159187514,1.0884751633,0.9157709709
0.4237256193,0.9326008105,3.1012179184,0.9277437776,1.9805941248,0.9177429596,1.6152543275,1.0882923922,0.9151504213
0.4269925328,0.9321120937,3.1008495990,0.9272117908,1.9801513505,0.9171408264,1.6145852739,1.0881086127,0.9145255325
0.4302846341,0.9316200627,3.1004779243,0.9266760837,1.9797051668,0.9165345355,1.6139113167,1.0879235745,0.9138962777
0.4336021173,0.9311246985,3.1001025772,0.9261366333,1.9792556000,0.9159240622,1.6132326568,1.0877375182,0.9132626302
0.4369451783,0.9306259820,3.0997238731,0.9255934164,1.9788027295,0.9153093815,1.6125492466,1.0875502979,0.9126245633
0.4403140142,0.9301238940,3.0993414974,0.9250464099,1.9783463693,0.9146904684,1.6118608458,1.0873618513,0.9119820500
0.4437088238,0.9296184151,3.0989553452,0.9244955907,1.9778864956,0.9140672979,1.6111676557,1.0871722539,0.9113350633
0.4471298072,0.9291095261,3.0985655212,0.9239409354,1.9774229208,0.9134398447,1.6104696487,1.0869816338,0.9106835761
0.4505771664,0.9285972076,3.0981720257,0.9233824205,1.9769560480,0.9128080837,1.6097664275,1.0867896380,0.9100275611
0.4540511045,0.9280814403,3.0977747568,0.9228200226,1.9764855266,0.9121719895,1.6090585463,1.0865966765,0.9093669911
0.4575518267,0.9275622045,3.0973735476,0.9222537180,1.9760114376,0.9115315367,1.6083453211,1.0864023253,0.9087018386
0.4610795393,0.9270394808,3.0969686699,0.9216834830,1.9755336523,0.9108866998,1.6076272796,1.0862069669,0.9080320761
0.4646344505,0.9265132495,3.0965599370,0.9211092940,1.9750524042,0.9102374532,1.6069039991,1.0860102777,0.9073576761
