# q,training_error,generalization_error,m,sigma,m_hat,q_hat,sigma_hat
1.220943494529994587e-02,8.446735849966692244e-01,8.065306137500340977e-01,1.028394105976329076e-01,9.326755779631702020e-03,1.102627891492768164e+01,1.877826323098515360e+01,1.401783908330738448e+01
1.225639608955095793e-02,8.445995423344414554e-01,8.061796827747325089e-01,1.030383566574092635e-01,9.344064183188661304e-03,1.102714564426797672e+01,1.877750904576690516e+01,1.401868951854613243e+01
1.230353786043041422e-02,8.445253714443101689e-01,8.058281580747085338e-01,1.032376898928609316e-01,9.361403562361194849e-03,1.102801403711962891e+01,1.877675341172217571e+01,1.401954156128681284e+01
1.235086095268243464e-02,8.444510721363547301e-01,8.054760388223887180e-01,1.034374110651468670e-01,9.378773968353178864e-03,1.102888409659684577e+01,1.877599632611607916e+01,1.402039521444217485e+01
1.239836606372333484e-02,8.443766442205197231e-01,8.051233241898343440e-01,1.036375209369444911e-01,9.396175452437892373e-03,1.102975582581901826e+01,1.877523778620896167e+01,1.402125048092941384e+01
1.244605389365190107e-02,8.443020875066177267e-01,8.047700133487457608e-01,1.038380202724531048e-01,9.413608065958058851e-03,1.103062922791072253e+01,1.877447778925636257e+01,1.402210736367016075e+01
1.249392514525970652e-02,8.442274018043304240e-01,8.044161054704662694e-01,1.040389098373966925e-01,9.431071860325865308e-03,1.103150430600174836e+01,1.877371633250913519e+01,1.402296586559053004e+01
1.254198052404148847e-02,8.441525869232068269e-01,8.040615997259870085e-01,1.042401903990272521e-01,9.448566887023036875e-03,1.103238106322706535e+01,1.877295341321330469e+01,1.402382598962104865e+01
1.259022073820550459e-02,8.440776426726670500e-01,8.037064952859501732e-01,1.044418627261276405e-01,9.466093197600855894e-03,1.103325950272685141e+01,1.877218902861014271e+01,1.402468773869671459e+01
1.263864649868400719e-02,8.440025688620013122e-01,8.033507913206542339e-01,1.046439275890148346e-01,9.483650843680200074e-03,1.103413962764649625e+01,1.877142317593613541e+01,1.402555111575698454e+01
1.268725851914370532e-02,8.439273653003712683e-01,8.029944870000577106e-01,1.048463857595429843e-01,9.501239876951606683e-03,1.103502144113659078e+01,1.877065585242298340e+01,1.402641612374575253e+01
1.273605751599627897e-02,8.438520317968104534e-01,8.026375814937831699e-01,1.050492380111065216e-01,9.518860349175286423e-03,1.103590494635295016e+01,1.876988705529760182e+01,1.402728276561138365e+01
1.278504420840894003e-02,8.437765681602249490e-01,8.022800739711224427e-01,1.052524851186432409e-01,9.536512312181187612e-03,1.103679014645658540e+01,1.876911678178208120e+01,1.402815104430667859e+01
